Activity ID,Date,Name,Type,Average Speed (km/h),Kilojoules,Distance (km),Moving Time (minutes),Kilojoules/Hour,Max HR (in-race),Variability,Power/HR,Efficiency Factor,Incident,Power/Weight (W/kg),Avg Resting HR (7-day pre-race),Avg HRV (7-day pre-race),"Avg Sleep (hours, 7-day pre-race)",Avg Resting HR (14-day pre-race),Avg HRV (14-day pre-race),"Avg Sleep (hours, 14-day pre-race)","Fitness (CTL, day pre-race)","Fatigue (ATL, day pre-race)","Form (Ramp Rate, day pre-race)",Normalized Speed,Normalized Efficiency Factor,Normalized Kilojoules/Hour,Normalized Power/Weight,Performance Score,Xert_Max_Power,Xert_Avg_Power,Xert_Max_HR,Xert_Avg_HR,Xert_Duration_Min
i1419320,2021-05-30,Yokosuka road race. Flipping disaster. Was pulled out after 3/24 laps. Didn't get the memo about the time cut... What a waste of money. Was playing the endurance card and didn't go as deep as I should have to catch the breakaway 😔 Difficult Mixed Puncheur,Ride,27.23,214516,7.76,15.07,854267.26,161,1.3779905,1.4315069,1.9726027,,4.03,44.75,42.38,6.47,44.87,45.4,6.41,100.47196,93.6916,-4.603943,0.394090560245587,0.9762144731369776,0.1274674927584068,1.0,2.497772526140972,,,,,
i17429311,2023-05-07,Narita City Road Cycling,Ride,38.45,434300,21.51,33.47,778625.5,164,1.1481482,1.4896551,1.7103448,,3.25,47.62,32.62,7.74,47.87,33.67,7.08,119.724724,97.36211,-9.944145,0.8246354566385264,0.5144354210224019,0.500955497747348,0.3658536585365853,2.2058800339448617,,,,,
i18041365,2023-05-21,Hitachinaka City Cycling,Ride,37.62,1532187,76.82,122.38,751174.34,170,1.2019231,1.3959732,1.6778524,,3.31,47.75,34.75,6.95,49.2,31.47,6.71,117.06726,97.525246,-4.23275,0.7927858787413659,0.4572233802300073,0.6364980734757848,0.4146341463414634,2.301141478788621,947.0,118.0,170.0,122.39999999999999,176.3
i19386996,2023-06-18,Kawasaki Ward Cycling,Ride,35.83,1434911,77.09,127.07,677555.04,167,1.1783783,1.3309352,1.5683453,,2.87,48.12,29.5,7.0,48.67,28.73,6.77,116.65085,92.77066,-7.183609,0.7240982348426706,0.2644052236070189,1.0,0.0569105691056912,2.0454140275553807,915.0,109.15,167.0,113.075,342.40000000000003
i20311937,2023-07-08,Shimotsuma City Cycling,Ride,43.02,1344719,76.01,105.33,765979.18,174,1.1516588,1.4353741,1.6530613,,3.22,45.5,36.75,6.6,46.53,35.87,6.53,116.93092,98.818474,-3.2923965,1.0,0.4135716516876923,0.5633978421250003,0.3414634146341465,2.318432908446839,,,,,
i20340229,2023-07-09,Sodegaura City Road Cycling,Ride,37.3,484482,22.5,34.73,836917.08,190,1.2645739,1.3117647,1.6588235,,3.74,46.12,34.62,6.35,46.33,36.33,6.48,118.014854,107.36245,-2.1091003,0.7805065234075209,0.4237176310999219,0.2131355696830983,0.7642276422764228,2.181587366466964,,,,,
i23157401,2023-09-03,Chichibu City Road Cycling,Ride,36.68,728780,32.26,52.73,829206.07,168,1.1869565,1.5436242,1.8322147,,3.7,45.88,39.62,6.7,46.0,38.47,6.72,111.70615,90.18101,-6.070389,0.7567152724481964,0.729021776298251,0.2512093762860882,0.7317073170731707,2.4686537421057064,,,,,
i25940568,2023-10-22,Oiso Town Cycling,Ride,31.27,197923,9.23,15.02,790813.32,190,1.4331551,1.1835443,1.6962025,,3.69,49.12,29.75,6.52,47.4,32.73,6.63,114.618454,118.7838,3.8408585,0.5491174213353798,0.4895339103768885,0.4407770384285233,0.7235772357723576,2.203005605913149,901.0,145.5,202.0,132.7,260.9
i27263317,2023-11-12,Tour de Okinawa,Ride,38.03,1116666,51.16,80.3,834370.61,154,1.0909091,1.65,1.8,,3.42,51.0,26.25,6.62,50.33,25.67,6.92,101.49196,88.38866,-1.4866562,0.8085188027628549,0.6722987047333701,0.2257089947338133,0.5040650406504065,2.210591542880445,376.0,172.9,146.0,119.8,29.1
i27586383,2023-11-19,Oiso criterium,Ride,37.83,194211,9.02,14.17,822540.71,156,1.092511,1.5874126,1.7342657,,3.37,52.0,27.5,6.39,51.33,27.33,6.67,102.13064,109.06815,0.6386795,0.8008442056792017,0.5565549168611449,0.2841201918056251,0.4634146341463415,2.104933948492313,,,,,
